Post-SPAC Ticker Symbol,Post-SPAC Company Name,SPAC Ticker,SPAC Name,Merged Company Name (if Different than DeSPAC),Merger Completion Date (Announced),SPAC IPO Date,Total Return (from SPAC IPO price),Annualized Return (from SPAC IPO),Current Price,% Change Prev,Market Cap,SPAC IPO Size,SPAC Initial Target Industry,Notable Leadership / Sponsor, Underwriter(s),Status,Warrant Trading Status,Post-Completion Events,Merger Partner Leadership,Est. Date Warrants Exercisable,Warrant Exercise Deadline (if Called),forwardPE,enterpriseToEbitda,entrepriseToRevenue,heldPercentInstitutions,pegRatio,sector,industry,exchange,country,city,logo_url
GENI,Genius Sports Limited,DMYD,"dMY Technology Group, Inc. II ",,2021-04-20,2020-08-13,,,,,,276000000.0,"Mobile Apps, Consumer Internet, Tech",Harry You (Former CFO of Oracle and Accenture; Former Exec VP of EMC; Founder of GTY Tech Holdings),"Goldman Sachs, Needham",Trading,Warrants Trading,,,2021-08-13,,,,,0.92977,,Communication Services,Internet Content & Information,NYQ,United Kingdom,London,https://logo.clearbit.com/geniussports.com
ASTS,AST SpaceMobile,NPA,New Providence Acquisition Corp ,,2021-04-06,2019-09-11,-0.19899999999999998,-0.1235,8.01,0.0,229425000.0,230000000.0,Consumer Goods,"Gary Smith (Fmr CEO, Big Red; Fmr COO Red Bull)","BTIG, I-Bankers",Trading,Warrants Trading,,,2021-05-06,,,-3.261,,0.67749,,Communication Services,Telecom Services,NMS,United States,Midland,https://logo.clearbit.com/ast-science.com
INVZ,"Innoviz Technologies, Inc.",CGRO,Collective Growth Corp ,,2021-04-05,2020-05-01,-0.01,-0.0103,9.9,0.0454,188223742.0,150000000.0,Cannabis,Peter Cuneo (Former CEO Marvel Comics; Former President of Black & Decker; Former CEO of Remington Products),Cantor,Trading,Warrants Trading,,,2021-05-05,,,-4.85,,0.70478,,Consumer Cyclical,Auto Parts,NMS,Israel,Rosh Haayin,https://logo.clearbit.com/innoviz.tech
FOA,Finance of America Companies Inc.,RPLA,Replay Acquisition Corp ,,2021-04-01,2019-04-03,0.0,0.0,10.0,0.001,,287500000.0,"Argentina, Brazil",,"Credit Suisse, BofA Securities",Trading,Warrants Trading,,,2021-05-01,,,,,0.2644,,Financial Services,Credit Services,NYQ,United States,Irving,https://logo.clearbit.com/financeofamerica.com
PSFE,Paysafe Limited,BFT,Foley Trasimene Acquisition Corp. II ,,2021-03-30,2020-08-18,0.27699999999999997,0.41100000000000003,12.77,-0.004699999999999999,,1467000000.0,,Bill Foley (Chairman of Fidelity National Financial and Black Knight; Owner of NHL Team: Vegas Golden Knights),"Credit Suisse, BofA Securities",Trading,Warrants Trading,,,2021-08-18,,,3.498,,0.36673,,Technology,Information Technology Services,NYQ,United Kingdom,London,
ARVL,Arrival,CIIC,CIIG Merger Corp ,,2021-03-25,2019-12-13,0.425,0.3134,14.25,0.0953,8638046475.0,258800000.0,"TMT (Tech, Media, Telecom)",Peter Cuneo (Former CEO Marvel Comics; Former President of Black & Decker; Former CEO of Remington Products),"UBS, Barclays",Trading,Warrants Trading,,,2021-04-24,,,-59.597,,0.03936,,Consumer Cyclical,Auto Manufacturers,NMS,Luxembourg,Howald,https://logo.clearbit.com/arrival.com
NVVE,Nuvve Holding Corp,NBAC,Newborn Acquisition Corp ,,2021-03-22,2020-02-14,-0.113,-0.0955,8.87,0.0368,66132898.0,58000000.0,Asia (Non-China),,Chardan,Trading,Warrants Trading,,,2021-04-21,,,,,0.49733,,Consumer Cyclical,Specialty Retail,NMS,United States,San Diego,https://logo.clearbit.com/nuvve.com
LBPS,4D pharma plc,LOAC,Longevity Acquisition Corp. ,,2021-03-22,2018-08-28,0.27,0.10189999999999999,12.7,-0.0305,207263824.0,40000000.0,China,,Cantor,Trading,Warrants Trading,,,2021-04-21,,,-5.754,,,,Healthcare,Biotechnology,NMS,United Kingdom,Leeds,https://logo.clearbit.com/4dpharmaplc.com
PCT,"PureCycle Technologies, Inc.",ROCH,Roth CH Acquisition I Co ,,2021-03-17,2020-05-05,1.359,1.4132,23.59,0.019,2791355179.0,76500000.0,"Business Services, Consumer, Healthcare, Tech, Wellness","Byron Roth (CEO, Roth)","Roth Capital Partners, Craig-Hallum Capital Group",Trading,Warrants Trading,,,2021-05-05,,,-7.42,,0.20747,,Industrials,Pollution & Treatment Controls,NMS,United States,Orlando,https://logo.clearbit.com/purecycletech.com
AEVA,"Aeva, Inc.",IPV,Interprivate Acquisition Corp ,,2021-03-12,2020-02-04,-0.079,-0.0652,9.21,0.0337,1943704196.0,241500000.0,,"Ahmed Fattouh (CEO, InterPrivate)","Morgan Stanley, EarlyBirdCapital, Inc.",Trading,Warrants Trading,,,2021-04-11,,,-81.045,,0.17275,,Consumer Cyclical,Auto Parts,NYQ,United States,Palo Alto,https://logo.clearbit.com/aeva.ai
OUST,"Ouster, Inc.",CLA,Colonnade Acquisition Corp. ,,2021-03-11,2020-08-20,-0.102,-0.15259999999999999,8.98,0.0652,1449813742.0,200000000.0,"Natural Resources, Energy, Real Estate, Agriculture",,BTIG,Trading,Warrants Trading,,,2021-08-20,,,-31.412,,0.19239001,,Technology,Electronic Components,NYQ,United States,San Francisco,https://logo.clearbit.com/ouster.com
VIEW,"View, Inc.",CFII,CF Finance Acquisition Corp II ,,2021-03-08,2020-08-27,-0.332,-0.5113,6.68,-0.0291,1533595305.0,500000000.0,"Financial Services, Health-care, Real Estate Services, Tech, Software","Howard Lutnick (CEO, Cantor)",Cantor,Trading,Warrants Trading,,,2021-08-27,,,-16.723,,0.67243,,Industrials,Building Products & Equipment,NGM,United States,Milpitas,https://logo.clearbit.com/view.com
CHPT,"ChargePoint Holdings, Inc.",SBE,Switchback Energy Acquisition Corp ,,2021-02-26,2019-07-25,1.002,0.575,20.02,-0.0089,5560921493.0,300000000.0,Energy,"Ray Kubis (Chairman, Gridtential)","Goldman Sachs, Citigroup",Trading,Warrants Trading,,,2021-03-28,,,-9.658,,0.58376,,Consumer Cyclical,Specialty Retail,NYQ,United States,Campbell,https://logo.clearbit.com/chargepoint.com
BFLY,"Butterfly Network, Inc.",LGVW,Longview Acquisition Corp. ,,2021-02-16,2020-05-21,0.374,0.4075,13.74,0.0425,2628314938.0,414000000.0,Healthcare,"Larry Robbins (Founder/CEO, Glenview)","UBS, Cowen",Trading,Warrants Trading,,,2021-05-21,,,-2.725,,0.18452999,,Healthcare,Medical Devices,NYQ,United States,Guilford,https://logo.clearbit.com/butterflynetwork.com
NUVB,Nuvation Bio Inc.,PANA,Panacea Acquisition ,,2021-02-10,2020-07-01,0.037000000000000005,0.045899999999999996,10.37,0.0127,2257030475.0,143800000.0,"Biotech, Healthcare",,Cowen,Trading,Warrants Trading,,,2021-07-01,,,-54.342,,0.28242,,Healthcare,Biotechnology,NYQ,United States,New York,https://logo.clearbit.com/nuvationbio.com
PLBY,"PLBY Group, Inc.",MCAC,Mountain Crest Acquisition Corp ,Playboy Enterprises Inc.,2021-02-10,2020-06-05,3.34,3.8097000000000003,43.4,0.214,1458089873.0,58600000.0,,,Chardan,Trading,Warrants Trading,,,2021-06-05,,,87.174,,0.75301003,,Consumer Cyclical,Leisure,NMS,United States,Los Angeles,https://logo.clearbit.com/plbygroup.com
MILE,"Metromile, Inc.",INAQ,INSU Acquisition Corp. II ,,2021-02-09,2020-09-02,-0.16399999999999998,-0.2591,8.36,0.1043,1062101019.0,230000000.0,"Insurance, InsureTech",Cohen & Company ,Cantor,Trading,Warrants Trading,,,2021-09-02,,,-35.56,,0.35876,,Financial Services,Insurance—Property & Casualty,NMS,United States,San Francisco,https://logo.clearbit.com/metromile.com
GMTX,"Gemini Therapeutics, Inc.",FSDC,FS Development Corp. ,,2021-02-05,2020-08-12,0.068,0.09849999999999999,10.68,-0.0148,459655657.0,105000000.0,"BioTech, Healthcare","Dr. Jim Tananbaum (Founder, Foresite Capital)",Jefferies,Trading,Warrants Trading,,,2021-08-12,,,-16.248,,0.6107,,Healthcare,Biotechnology,NMS,United States,Cambridge,https://logo.clearbit.com/geminitherapeutics.com
ETWO,"E2open Parent Holdings, Inc.",PCPL,CC Neuberger Principal Holdings I ,,2021-02-05,2020-04-24,-0.028999999999999998,-0.0292,9.71,0.0115,2273890721.0,414000000.0,"Finance, Tech","Chinh Chu (Founder/Managing Partner, CC Capital; Former Managing Director at Blackstone)","Goldman Sachs, BofA Securities, UBS",Trading,Warrants Trading,,,2021-04-24,,,,,0.49321997,,Technology,Software—Infrastructure,NYQ,United States,Austin,https://logo.clearbit.com/e2open.com
ADN,"Advent Technologies Holdings, Inc.",AMCI,AMCI Acquisition Corp ,,2021-02-04,2018-11-15,0.113,0.0464,11.13,-0.038,512951583.0,220500000.0,"Natural Resources, Mining",,"Jefferies, UBS",Trading,Warrants Trading,,,2021-03-06,,,-172.409,,0.189,,Utilities,Utilities—Renewable,NCM,United States,Boston,https://logo.clearbit.com/advent.energy
APPH,"AppHarvest, Inc.",NOVS,Novus Capital Corp ,,2021-02-01,2020-05-15,0.27899999999999997,0.2986,12.79,0.0143,1252457420.0,100000000.0,"Smart Tech, 5G communication, VR, AI, Cloud, Machine Learning","Robert Laikin (Founder of L7 Investments and Chairman of Washington Prime Group), Larry Paulson (Former VP of Product Mgmt of Qualcomm)","EarlyBirdCapital, I-Bankers",Trading,Warrants Trading,,,2021-05-15,,,-95.699,,0.41379002,,Consumer Defensive,Farm Products,NMS,United States,Lexington,https://logo.clearbit.com/appharvest.com
UWMC,UWM Holdings Corporation,GHIV,"Gores Holdings IV, Inc ","United Wholesale Mortgage, LLC",2021-01-21,2020-01-24,-0.253,-0.2039,7.47,0.0346,16581447337.0,425000000.0,"Industrials, Tech, Telecom, Media and Entertainment, Business Services, Healthcare and Consumer",Alec Gores (Founder of The Gores Group,"Deutsche Bank, Morgan Stanley",Trading,Warrants Trading,,,2021-02-20,,,1.843,,0.23579,0.18,Financial Services,Mortgage Finance,NYQ,United States,Pontiac,https://logo.clearbit.com/uwm.com
LOTZ,"CarLotz, Inc.",ACAM,Acamar Partners Acquisition Corp ,,2021-01-21,2019-02-21,-0.31,-0.1432,6.9,0.050499999999999996,783129481.0,300000000.0,Consumer and Retail,"Charles Bernicker (CEO, South Mountain Merger Corp & Former CFO, CardConnect)","Goldman Sachs, Deutsche Bank",Trading,Warrants Trading,,,2021-02-20,,,-125.101,,0.40632,,Consumer Cyclical,Auto & Truck Dealerships,NGM,United States,Richmond,https://logo.clearbit.com/carlotz.com
HIMS,"Hims & Hers Health, Inc.",OAC,Oaktree Acquisition Corp ,,2021-01-20,2019-07-17,0.11800000000000001,0.0669,11.18,0.1316,2045647139.0,201300000.0,"Industrial, Consumer",,"Credit Suisse, Deutsche Bank",Trading,Warrants Trading,,,2021-02-19,,,-162.797,,0.55538,,Consumer Defensive,Household & Personal Products,NYQ,United States,San Francisco,https://logo.clearbit.com/forhims.com
BTRS,BTRS Holdings Inc.,SMMC,South Mountain Merger Corp ,Billtrust,2021-01-12,2019-06-19,0.46,0.24989999999999998,14.6,0.022099999999999998,2283876599.0,250000000.0,Fintech,"Charles Bernicker (CEO, South Mountain Merger Corp & Former CFO, CardConnect)",Citigroup,Trading,Warrants Trading,,,2021-02-11,,,-420.239,,0.56139,,Technology,Software—Application,NMS,United States,Lawrenceville,https://logo.clearbit.com/billtrust.com
CLOV,"Clover Health Investments, Corp.",IPOC,Social Capital Hedosophia Holdings Corp. III ,,2021-01-07,2020-04-22,-0.11599999999999999,-0.11630000000000001,8.84,0.0256,3608037447.0,828000000.0,"Tech, Non-US","Chamath Palihapitiya (Managing Partner, Social Capital), Ian Osborne (Co-founder/CEO, Hedosophia)",Credit Suisse,Trading,Warrants Trading,,,2021-04-22,,,-43.185,,0.35338002,-0.08,Healthcare,Healthcare Plans,NMS,United States,Franklin,https://logo.clearbit.com/cloverhealth.com
LSEA,Landsea Homes Corporation,LFAC,LF Capital Acquisition Corp ,,2021-01-07,2018-06-20,-0.08199999999999999,-0.028900000000000002,9.18,-0.0016,428792692.0,155300000.0,"Fintech, Commercial Banking",,"B. Riley FBR, Raymond James",Trading,Warrants Trading,,,2021-02-06,,,25.778,,0.22426,0.22,Real Estate,Real Estate—Development,NMS,United States,Newport Beach,https://logo.clearbit.com/landseahomes.com
BMTX,"BM Technologies, Inc.",MFAC,Megalith Financial Acquisition Corp ,"BankMobile Technologies, Inc.",2021-01-05,2018-08-23,0.035,0.0131,10.35,0.034,124694285.0,150000000.0,"Fintech, Financial Services",Chad Hurley (Founder and Former CEO of YouTube),"Chardan, BTIG",Trading,Warrants Trading,,,2021-02-04,,,,,0.22152,,Technology,Software—Application,ASE,United States,Wayne,https://logo.clearbit.com/ir.bmtxinc.com
CLNN,"Clene Nanomedicine, Inc.",TOTA,Tottenham Acquisition I ,,2020-12-30,2018-08-01,0.10400000000000001,0.0382,11.04,0.0138,657168914.0,46000000.0,"Asia Ops (Focus on China), TMT (Technology, Media, Telecom), education, e-commerce, Health-care, Consumer",,"Chardan, I-Bankers",Trading,Warrants Trading,,,2021-01-29,,,-30.757,,0.0292,,Healthcare,Biotechnology,NCM,United States,Salt Lake City,https://logo.clearbit.com/clene.com
RMO,"Romeo Power, Inc.",RMG,RMG Acquisition Corp ,"Romeo Systems, Inc.",2020-12-29,2019-02-07,-0.239,-0.1085,7.61,0.0562,997363782.0,200000000.0,"Diversified Resources, Industrial Materials",,"Deutsche Bank, Stifel",Trading,,,,,2021/4/5,,-23.017,,0.18908001,,Consumer Cyclical,Auto Parts,NYQ,United States,Vernon,https://logo.clearbit.com/romeopower.com
DNMR,"Danimer Scientific, Inc.",LOAK,Live Oak Acquisition Corp. ,,2020-12-29,2020-05-06,1.49,1.5538999999999998,24.9,0.0277,2199360692.0,253000000.0,"Financial Services, Industrials, Business Services, and Real Estate",,"Jefferies, BMO",Trading,Warrants Trading,,,2021-05-06,,,,,,,NaN,NaN,NYQ,NaN,NaN,
GNOG,"Golden Nugget Online Gaming, Inc.",LCA,"Landcadia Holdings II, Inc ",,2020-12-29,2019-05-07,0.382,0.195,13.82,0.0184,1076815265.0,316300000.0,"Consumer, Dining, Hospitality, Entertainment, Gaming, Tech","Tilman Fertitta (Houston Rockets owner, CEO of Landry's)",Jefferies,Trading,,,,,2021/3/8,,46.511,,0.18629,,Consumer Cyclical,Gambling,NMS,United States,Houston,https://logo.clearbit.com/gnoginc.com
RSI,"Rush Street Interactive, Inc.",DMYT,dMY Technology Group Inc ,,2020-12-29,2020-02-21,0.276,0.237,12.76,0.0070999999999999995,2702958177.0,230000000.0,"Mobile Apps, Consumer Internet, Tech",Harry You (Former CFO of Oracle and Accenture; Former Exec VP of EMC; Founder of GTY Tech Holdings),"Goldman Sachs, UBS",Trading,,,,,2021/3/24,,-3.017,,0.61579,,Consumer Cyclical,Gambling,NYQ,United States,Chicago,https://logo.clearbit.com/rushstreetinteractive.com
VINC,"Vincera Pharma, Inc.",LSAC,LifeSci Acquisition Corp ,,2020-12-23,2020-03-06,0.631,0.5604,16.31,-0.0073,239690284.0,65599999.99999999,Healthcare,,Chardan,Trading,Warrants Trading,,,2021-03-06,,,-28.714,,0.47280997,,Healthcare,Biotechnology,NCM,United States,Palo Alto,https://logo.clearbit.com/vincerx.com
PRCH,"Porch Group, Inc.",PTAC,PropTech Acquisition Corp ,"Porch.com, Inc.",2020-12-23,2019-11-21,0.24100000000000002,0.17010000000000003,12.41,0.0227,1109199129.0,172500000.0,PropTech ,,Cantor,Trading,,,,,2021/4/16,,-28.371,,0.48439,,Technology,Software—Application,NMS,United States,Seattle,https://logo.clearbit.com/porchgroup.com
ARKO,ARKO Corp,HYAC,Haymaker Acquisition Corp. II ,"ARKO Holdings Ltd., GPM Investments, LLC",2020-12-22,2019-06-07,0.015,0.008,10.15,0.0175,1263564275.0,400000000.0,Consumer,"Steven Heyer (Former CEO of Starwood Hotels; Fmr COO, Coca-Cola Company)",Cantor,Trading,Warrants Trading,,,2021-01-21,,,18.784,,0.477,,Consumer Cyclical,Department Stores,NCM,United States,Richmond,https://logo.clearbit.com/arkocorp.com
ASLE,AerSale Corporation,MNCL,Monocle Acquisition Corp ,,2020-12-22,2019-02-06,0.174,0.0789,11.74,-0.0424,481882496.0,172500000.0,"Aerospace, Defense, Industrial",,"Cowen, Chardan",Trading,Warrants Trading,,,2021-01-21,,,102.009,,0.78772,,Industrials,Airports & Air Services,NCM,United States,Coral Gables,https://logo.clearbit.com/aersale.com
XL,XL Fleet Corp,PIC,Pivotal Investment Corporation II ,,2020-12-22,2019-07-11,-0.342,-0.192,6.58,0.0805,915315495.0,230000000.0,"Tech, LogTech, Last Mile Delivery, Cyber Security, Media, Entertainment","Jon Ledecky (co-owner, New York Islanders), Katrina Adams (Chairman, US Open and Former Pro Tennis Player), Efrat Epstein (Managing Partner of Sound Ventures) ","Cantor, BTIG",Trading,,,,,2021/3/1,-670.0,-38.979,,0.16360001,,Consumer Cyclical,Auto Parts,NYQ,United States,Boston,https://logo.clearbit.com/xlfleet.com
GOEV,Canoo Holdings,HCAC,Hennessy Capital Acquisition Corp IV ,,2020-12-21,2019-03-01,-0.209,-0.09759999999999999,7.91,0.0338,1877993520.0,300200000.0,Industrials,Daniel Hennessy,"Nomura, Stifel",Trading,Warrants Trading,,,2021-01-20,,,-7.076,,0.08718,,Consumer Cyclical,Auto Manufacturers,NMS,United States,Torrance,https://logo.clearbit.com/canoo.com
OPEN,Opendoor Technologies Inc.,IPOB,Social Capital Hedosophia Hldgs II Corp ,Opendoor Labs Inc.,2020-12-18,2020-04-28,0.835,0.8513,18.35,0.1153,10583467517.0,414000000.0,"Tech, United States","Chamath Palihapitiya (Managing Partner, Social Capital), Ian Osborne (Co-founder/CEO, Hedosophia)",Credit Suisse,Trading,Warrants Trading,,,2021-04-28,,,-82.223,,0.54248,,Real Estate,Real Estate Services,NMS,United States,San Francisco,https://logo.clearbit.com/opendoor.com
